Country Name,Country Code,Time,Time Code,Consumer price index (2010 = 100) [FP.CPI.TOTL],Adjusted net national income (current US$) [NY.ADJ.NNTY.CD],Broad money (% of GDP) [FM.LBL.BMNY.GD.ZS],"Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]",Compensation of employees (% of expense) [GC.XPN.COMP.ZS],Coverage of unemployment benefits and ALMP (% of population) [per_lm_alllm.cov_pop_tot],CPIA financial sector rating (1=low to 6=high) [IQ.CPA.FINS.XQ],CPIA macroeconomic management rating (1=low to 6=high) [IQ.CPA.MACR.XQ],CPIA property rights and rule-based governance rating (1=low to 6=high) [IQ.CPA.PROP.XQ],CPIA public sector management and institutions cluster average (1=low to 6=high) [IQ.CPA.PUBS.XQ],CPIA quality of budgetary and financial management rating (1=low to 6=high) [IQ.CPA.FINQ.XQ],CPIA quality of public administration rating (1=low to 6=high) [IQ.CPA.PADM.XQ],"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high) [IQ.CPA.TRAN.XQ]",Domestic credit provided by financial sector (% of GDP) [FS.AST.DOMS.GD.ZS],Domestic credit to private sector (% of GDP) [FS.AST.PRVT.GD.ZS],Domestic credit to private sector by banks (% of GDP) [FD.AST.PRVT.GD.ZS],Electricity production from natural gas sources (% of total) [EG.ELC.NGAS.ZS],Employment in agriculture (% of total employment) (modeled ILO estimate) [SL.AGR.EMPL.ZS],Employment in industry (% of total employment) (modeled ILO estimate) [SL.IND.EMPL.ZS],Employment in services (% of total employment) (modeled ILO estimate) [SL.SRV.EMPL.ZS],"Energy imports, net (% of energy use) [EG.IMP.CONS.ZS]",Export value index (2000 = 100) [TX.VAL.MRCH.XD.WD],Food exports (% of merchandise exports) [TX.VAL.FOOD.ZS.UN],Food imports (% of merchandise imports) [TM.VAL.FOOD.ZS.UN],Forest area (% of land area) [AG.LND.FRST.ZS],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Goods exports (BoP, current US$) [BX.GSR.MRCH.CD]","Goods imports (BoP, current US$) [BM.GSR.MRCH.CD]",Gross national expenditure (% of GDP) [NE.DAB.TOTL.ZS],Gross savings (% of GDP) [NY.GNS.ICTR.ZS],Income share held by highest 20% [SI.DST.05TH.20],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Interest payments (% of revenue) [GC.XPN.INTP.RV.ZS],"International migrant stock, total [SM.POP.TOTL]","International tourism, number of arrivals [ST.INT.ARVL]","Labor force, total [SL.TLF.TOTL.IN]",Land under cereal production (hectares) [AG.LND.CREL.HA],"Net capital account (BoP, current US$) [BN.TRF.KOGT.CD]",Net migration [SM.POP.NETM],"Net official flows from UN agencies, FAO (current US$) [DT.NFL.FAOG.CD]",Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS],Natural gas rents (% of GDP) [NY.GDP.NGAS.RT.ZS],"Patent applications, residents [IP.PAT.RESD]",Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS],Poverty gap at $3.20 a day (2011 PPP) (%) [SI.POV.LMIC.GP],Poverty gap at $5.50 a day (2011 PPP) (%) [SI.POV.UMIC.GP],Public credit registry coverage (% of adults) [IC.CRD.PUBL.ZS],S&P Global Equity Indices (annual % change) [CM.MKT.INDX.ZG],Short-term debt (% of total reserves) [DT.DOD.DSTC.IR.ZS],"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]","Total reserves (includes gold, current US$) [FI.RES.TOTL.CD]","Trademark applications, resident, by count [IP.TMK.RSCT]",Unemployment with advanced education (% of total labor force with advanced education) [SL.UEM.ADVN.ZS],Unemployment with basic education (% of total labor force with basic education) [SL.UEM.BASC.ZS],Unemployment with intermediate education (% of total labor force with intermediate education) [SL.UEM.INTM.ZS],"Unemployment, male (% of male labor force) (modeled ILO estimate) [SL.UEM.TOTL.MA.ZS]","Unemployment, female (% of female labor force) (modeled ILO estimate) [SL.UEM.TOTL.FE.ZS]",Wholesale price index (2010 = 100) [FP.WPI.TOTL]
Turkiye,TUR,2002,YR2002,46.0963443572496,192900000000,38.6613917176345,..,..,..,..,..,..,..,..,..,..,..,..,14.0547619893406,40.5695517774343,26.8700008392334,26.3500003814697,46.7799987792969,67.5104775436094,129.82585,10.1217812652105,3.71146330712161,26.4221716928914,6.44772204681594,240253216295.117,3687.95609325031,40705000000,47109000000,97.772156015873,22.4525820835932,47.7,44.9641209479849,..,..,13256000,22671130,13747990,0,-39998,..,0.088352107585078,0.00598752455580788,414,0.3,2.9,11.3,..,-33.4700012207,57.937006114002,..,28348030216.9613,..,..,9.78999996185303,14.6999998092651,10.7279996871948,9.46700000762939,45.8388393595669
Turkiye,TUR,2003,YR2003,56.05427877429,255800000000,33.9299625709292,..,..,..,..,..,..,..,..,..,..,..,..,14.0106600106125,45.195296661711,26.3099994659424,26.2399997711182,47.4599990844727,69.7101323680097,170.1284253,10.0208709308727,4.02567762300612,26.5436235593727,5.76320606654714,314592428076.487,4760.1040190451,52472000000,65883000000,100.212741835185,20.6537159410271,48.4,21.6024384490573,..,..,14030000,22556573,13340979,0,..,..,0.0772082817799669,0.00737512828777036,489,0.8,4,13.1,..,113.1999969482,64.7368918377141,..,35548509276.1176,..,..,10.1800003051758,12.7700004577637,10.71399974823,10.1040000915527,57.5565268750552
Turkiye,TUR,2004,YR2004,60.8739723467862,336400000000,33.2017964803931,..,..,..,..,..,..,..,..,..,..,..,..,16.5723956447179,41.3018089158449,25.5100002288818,26.4799995422363,48.0099983215332,70.1325894029486,227.4247612,9.33382936727973,3.16762691230328,26.665075425854,9.79593638920282,408876042651.701,6101.63211660696,68833000000,91271000000,101.576331728854,22.306727432755,47,8.59826168115267,..,..,17517000,22041260,13779950,0,..,..,0.0760403467984174,0.00617475314345097,682,0.3,2.5,9.1,3.2,32.9099998474,82.7281247146627,..,37304121308.7358,..,12.2200002670288,9.85999965667725,15.1899995803833,10.7880001068115,10.9879999160767,63.9407933594168
Turkiye,TUR,2005,YR2005,65.852952167414,421100000000,38.6785675365284,..,..,..,..,..,..,..,..,..,..,..,..,21.2237356325229,45.3487366939169,24.7999992370605,26.6299991607666,48.5699996948242,71.5822658666052,264.5410064,10.4981703895863,2.81249281753769,26.7865272923353,8.99230493626517,506308311476.63,7456.2961006749,78509000000,111445000000,102.38982191776,23.6403641608459,48.3,8.17916036802001,..,1319236,21125000,22510689,13841315,0,..,..,0.0919856061971238,0.00673902857864136,928,0.4,2.6,8.5,4.9,49.4656259382,74.1342687447844,2.12,52493941950.0754,..,10.0299997329712,10.1499996185303,13.7799997329712,10.451000213623,11.1809997558594,69.2075441362399
Turkiye,TUR,2006,YR2006,72.1730194319881,464300000000,40.3975176037227,..,..,..,..,..,..,..,..,..,..,..,..,24.7234860233588,45.7694031162968,24.0599994659424,26.7700004577637,49.1699981689453,71.7129388924415,307.9579044,9.2729161102983,2.49769750122496,26.9079791588166,6.94798808571993,557057829051.453,8101.85692374776,93778000000,134672000000,103.973203186042,24.6267729100807,45.6,9.59724212288445,..,..,19820000,22468151,13011934,0,..,..,0.0970680223309677,0.0117812123522368,1072,0.3,1.9,7.2,6.7,-3.9930102236,67.7390462142721,..,63264841173.6432,..,8.13000011444092,8.36999988555908,11.0799999237061,8.58600044250488,9.0959997177124,75.9662204044861
Turkiye,TUR,2007,YR2007,78.4926195814649,569000000000,41.7264237590794,..,..,..,..,..,..,..,..,..,..,..,..,28.0162488758688,49.6063855333633,23.4799995422363,26.75,49.7700004577637,72.7254988268207,386.2183122,8.39658690294576,3.03856981711862,27.0294310252979,5.04350793157104,681337335021.874,9791.88245001167,115379000000,162210000000,104.071765349092,23.9122492919392,44.7,8.75618090972635,..,..,27215000,22856997,12136070,-8000000,-50000,..,0.0840693642398171,0.0103162688431501,1810,0.1,1.5,6.1,10.3,74.8216489884726,56.3976261475517,..,76496127491.481,109486,8.48999977111816,8.35999965667725,11.1300001144409,8.77000045776367,9.14999961853027,80.758439749955
Turkiye,TUR,2008,YR2008,86.6904895366218,642800000000,46.1090278731947,41.2155893803707,21.0636761310251,..,..,..,..,..,..,..,..,51.7823732177076,33.3766449782112,30.8966473581254,49.7359110564566,23.1399993896484,26.1900005340576,50.6699981689453,70.6420063612313,475.3471516,8.10846532961713,4.21006218597173,27.1508828917792,0.815024573007705,770462156204.38,10941.172146426,140906000000,193823000000,103.415672042652,24.6203699004647,45.1,10.4441283764885,14.5816057570524,..,31138000,23566832,11256039,-61000000,..,..,0.106237710910801,0.0159272293374912,2221,0.2,1.2,5.1,12.7,-62.4008233309,71.2755000329079,..,73674684815.6172,115999,9.15999984741211,9.42000007629395,11.3900003433228,9.60999965667725,9.97999954223633,91.0285954600447
Turkiye,TUR,2009,YR2009,92.1094917787743,535700000000,51.7595288646851,50.1129561092721,20.2344840714142,1.13946823961092,..,..,..,..,..,..,..,61.2402692510188,37.0802199407039,34.533659251837,49.3270435086134,22.9500007629395,25.2999992370605,51.75,69.035881178924,367.7515059,10.3598650390202,4.33377158597111,27.2723347582605,-4.82315395301769,649272568774.193,9103.47405061243,109732000000,134494000000,100.046668654856,21.9497111475867,45.4,6.25097663090625,14.1037753092132,..,31760000,24426675,11954939,-43000000,..,..,0.0739681136944481,0.010954859371354,2555,0.1,1.1,4.7,15.9,99.6045440147,65.3609686905665,..,74933099954.2986,108003,10.8199996948242,12.3900003433228,15.1599998474121,12.5279998779297,12.6079998016357,92.1524891889216
Turkiye,TUR,2010,YR2010,100,650800000000,52.8836046931277,47.1216697776893,22.0028829308068,1.04459968346321,..,..,..,..,..,..,..,67.6005202184328,44.3622079573054,41.599783298435,46.467936820575,23.7000007629395,26.2199993133545,50.0699996948242,69.6247665957724,410.0220673,10.4216794950484,3.99512236240813,27.3937866247418,8.42710432276191,776992599946.766,10742.7749787626,120992000000,177317000000,104.306198586639,21.7976346238357,45.2,8.56644420552977,10.8249386110128,1367034,32997000,25446167,12014528,-51000000,..,..,0.0928839749111561,0.00712562403228361,3180,0.1,1,4.6,18.3,21.3688256185371,89.8470028815497,2.32,85959461665.9826,..,9.77999973297119,10.4200000762939,13.1099996566772,10.3629999160767,11.3819999694824,100
Turkiye,TUR,2011,YR2011,106.471879671151,708200000000,50.6352349030026,42.0450131192022,22.904348069012,0.853320370913091,..,..,..,..,..,..,..,66.1551113325285,49.0564243726279,46.1596915828407,45.3579664593078,24.1599998474121,26.4599990844727,49.3800010681152,71.6075765301558,485.7150485,10.5313257591822,4.4231678627251,27.535990021179,11.2001105833504,838762755164.179,11420.5554558378,142392000000,231552000000,107.316773128366,23.027276296285,46.5,6.47187967115097,9.37323271027766,..,36769000,26568558,11850262,-25000000,..,..,0.124020420091137,0.0112588785894139,3885,0,0.8,3.8,23.8,-37.0059103540285,92.7434010293091,..,87937253858.338,152271,9.36999988555908,8.25,10.6700000762939,8.26299953460693,10.0620002746582,111.085286768463
